ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
7010,6396,12852,-4,36,-28,-28.46999931,-23.17000008,145.0500031
7010,6396,12852,-4,36,-28,-28.46999931,-23.17000008,145.0500031
7010,6396,12852,-4,36,-28,-28.46999931,-23.17000008,145.0500031
7010,6396,12852,-4,36,-28,-28.46999931,-23.17000008,145.0500031
7146,6398,12754,-37,3,-27,-28.42000008,-23.44000053,144.9199982
7146,6398,12754,-37,3,-27,-28.42000008,-23.44000053,144.9199982
7146,6398,12754,-37,3,-27,-28.42000008,-23.44000053,144.9199982
7316,6794,13392,-90,-26,6,-28.40999985,-23.46999931,144.7799988
7316,6794,13392,-90,-26,6,-28.40999985,-23.46999931,144.7799988
7162,6506,13692,-128,-178,119,-28.70000076,-23.13999939,144.7700043
7388,6354,9612,232,-166,132,-29.79999924,-23.28000069,145.3500061
7388,6354,9612,232,-166,132,-29.79999924,-23.28000069,145.3500061
6300,6940,12346,468,364,161,-29.93000031,-24.43000031,146.5
6300,6940,12346,468,364,161,-29.93000031,-24.43000031,146.5
6300,6940,12346,468,364,161,-29.93000031,-24.43000031,146.5
5434,6140,14876,167,91,39,-29.10000038,-25.13999939,147.1999969
5434,6140,14876,167,91,39,-29.04000092,-25.65999985,147.1399994
6916,6602,11036,185,35,-115,-29.04000092,-25.65999985,147.1399994
6916,6602,11036,185,35,-115,-29.04000092,-25.65999985,147.1399994
8110,7168,13746,146,33,-58,-29.03000069,-26.45999908,147.3399963
8110,7168,13746,146,33,-58,-29.03000069,-26.45999908,147.3399963
8304,7412,12140,-310,-107,150,-29.35000038,-26.03000069,147.3099976
8304,7412,12140,-310,-107,150,-29.35000038,-26.03000069,147.3099976
8242,7134,11024,45,4,240,-30.07999992,-25.67000008,147.9499969
8242,7134,11024,45,4,240,-30.07999992,-25.67000008,147.9499969
7458,6924,13792,117,64,350,-30.52000046,-25.71999931,149.1000061
7458,6924,13792,117,64,350,-30.52000046,-25.71999931,149.1000061
7458,6924,13792,117,64,350,-30.52000046,-25.71999931,149.1000061
6280,6450,12362,-94,-95,258,-30.86000061,-25.19000053,149.9299927
6280,6450,12362,-94,-95,258,-31.31999969,-25.27000046,150.5599976
6280,6450,12362,-94,-95,258,-31.31999969,-25.27000046,150.5599976
5856,6536,11550,266,-91,196,-31.31999969,-25.27000046,150.5599976
7424,7926,11486,413,-159,141,-32.13000107,-26.12999916,151.6600037
7424,7926,11486,413,-159,141,-32.13000107,-26.12999916,151.6600037
8172,8248,10832,471,80,214,-33.22999954,-27.45999908,153.2100067
8172,8248,10832,471,80,214,-33.22999954,-27.45999908,153.2100067
8172,8248,10832,471,80,214,-33.22999954,-27.45999908,153.2100067
8828,8958,12986,118,-17,146,-33.54999924,-28.15999985,154.3200073
8828,8958,12986,118,-17,146,-33.54999924,-28.15999985,154.3200073
10672,8958,12764,-22,-489,192,-34.93000031,-28.11000061,154.9100037
10672,8958,12764,-22,-489,192,-36.77999878,-27.84000015,155.6000061
9568,9044,10654,-172,-220,235,-36.77999878,-27.84000015,155.6000061
9568,9044,10654,-172,-220,235,-37.50999832,-27.94000053,155.9299927
9402,8852,10622,268,-83,-11,-37.50999832,-27.94000053,155.9299927
9402,8852,10622,268,-83,-11,-37.50999832,-27.94000053,155.9299927
10074,8858,13272,750,-124,17,-38.66999817,-29.75,157.3500061
10074,8858,13272,750,-124,17,-38.66999817,-29.75,157.3500061
9918,8130,12144,-33,-119,190,-39.52999878,-30.29999924,158.3899994
9918,8130,12144,-33,-119,190,-39.52999878,-30.29999924,158.3899994
9636,8266,10178,-150,-384,304,-40.59999847,-29.45000076,158.8099976
9636,8266,10178,-150,-384,304,-40.59999847,-29.45000076,158.8099976
9636,8266,10178,-150,-384,304,-40.59999847,-29.45000076,158.8099976
8660,7958,11076,71,-516,277,-42.52000046,-29.13999939,159.7100067
8660,7958,11076,71,-516,277,-42.52000046,-29.13999939,159.7100067
9666,8090,9276,-11,-508,55,-44.45000076,-29.04000092,160.1600037
9666,8090,9276,-11,-508,55,-44.45000076,-29.04000092,160.1600037
10658,8400,10670,145,-341,-106,-45.81999969,-29.39999962,160.2700043
10658,8400,10670,145,-341,-106,-45.81999969,-29.39999962,160.2700043
