ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
4716,7686,13296,46,73,-7,-20.26000023,-28.48999977,37.11000061
4716,7686,13296,46,73,-7,-20.26000023,-28.48999977,37.11000061
4716,7686,13296,46,73,-7,-20.26000023,-28.48999977,37.11000061
4568,8124,13224,-33,76,-40,-19.92000008,-28.62000084,36.97000122
4568,8124,13224,-33,76,-40,-19.92000008,-28.62000084,36.97000122
4270,7882,13838,128,117,-65,-19.31999969,-28.84000015,36.79999924
4270,7882,13838,128,117,-65,-19.31999969,-28.84000015,36.79999924
4224,8296,13816,12,-16,-19,-19.04000092,-29.17000008,36.63000107
4224,8296,13816,12,-16,-19,-19.04000092,-29.17000008,36.63000107
4010,7274,14150,140,83,-182,-18.55999947,-29.22999954,36.31999969
4010,7274,14150,140,83,-182,-18.55999947,-29.22999954,36.31999969
4264,8176,13612,477,-27,-253,-18.10000038,-30.29000092,35.81999969
4264,8176,13612,477,-27,-253,-18.10000038,-30.29000092,35.81999969
4264,8176,13612,477,-27,-253,-18.10000038,-30.29000092,35.81999969
3184,8572,11970,386,3,-363,-17.79999924,-32.08000183,35.24000168
2030,8864,12058,178,120,-649,-16.15999985,-33.52000046,33.43999863
2030,8864,12058,178,120,-649,-16.15999985,-33.52000046,33.43999863
2030,8864,12058,178,120,-649,-16.15999985,-33.52000046,33.43999863
2114,11920,11594,220,282,-360,-14.18000031,-34.95000076,31.36000061
1832,10926,12096,358,162,-198,-12.73999977,-36.54999924,30.63999939
472,10158,9480,631,165,-430,-11.10999966,-39.09000015,29.38999939
472,10158,9480,631,165,-430,-11.10999966,-39.09000015,29.38999939
586,10942,7648,201,338,-339,-9.220000267,-41.50999832,27.87000084
586,10942,7648,201,338,-339,-6.309999943,-43.77999878,25.84000015
586,10942,7648,201,338,-339,-6.309999943,-43.77999878,25.84000015
152,8908,9370,901,178,-739,-6.309999943,-43.77999878,25.84000015
18,14178,1758,500,-146,-632,-4.199999809,-48.34000015,22.43000031
18,14178,1758,500,-146,-632,-3.849999905,-51.29000092,21.31999969
18,14178,1758,500,-146,-632,-3.849999905,-51.29000092,21.31999969
3096,7906,4158,589,-122,-659,-3.849999905,-51.29000092,21.31999969
-2722,10458,-592,-363,-904,-1923,0,-52.58000183,13.93000031
-2722,10458,-592,-363,-904,-1923,0,-52.58000183,13.93000031
-540,10816,2892,-1037,835,-1555,7.099999905,-50.77000046,5.210000038
-2306,10380,1564,773,382,-1547,15.81999969,-50.95999908,-2.799999952
-2306,10380,1564,773,382,-1547,15.81999969,-50.95999908,-2.799999952
-2306,10380,1564,773,382,-1547,22.44000053,-55.36000061,-9.260000229
-1044,11392,2544,1246,830,-287,22.44000053,-55.36000061,-9.260000229
-1044,11392,2544,1246,830,-287,22.44000053,-55.36000061,-9.260000229
-2764,6926,7006,1284,737,-541,34.16999817,-60.13000107,-16.89999962
-2764,6926,7006,1284,737,-541,34.16999817,-60.13000107,-16.89999962
-3254,13870,6752,661,1194,256,34.16999817,-60.13000107,-16.89999962
-9108,6000,7088,824,505,262,39.36000061,-61.24000168,-19.29999924
-9108,6000,7088,824,505,262,39.36000061,-61.24000168,-19.29999924
-9108,6000,7088,824,505,262,39.36000061,-61.24000168,-19.29999924
-9108,6000,7088,824,505,262,39.36000061,-61.24000168,-19.29999924
-11958,15682,4318,-1591,768,723,42.31999969,-60.06000137,-19.78000069
-11958,15682,4318,-1591,768,723,42.31999969,-60.06000137,-19.78000069
-13306,3420,16788,-804,844,31,39.34999847,-55.41999817,-11.44999981
-13306,3420,16788,-804,844,31,39.34999847,-55.41999817,-11.44999981
-13306,3420,16788,-804,844,31,39.34999847,-55.41999817,-11.44999981
