ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
6356,3200,14438,264,5,145,-24.39999962,-9.149999619,9.529999733
6458,2916,14182,109,-40,85,-24.57999992,-9.630000114,10.11999989
6458,2916,14182,109,-40,85,-24.57999992,-9.630000114,10.11999989
6458,2916,14182,109,-40,85,-24.57999992,-9.630000114,10.11999989
6508,3002,14540,59,144,-50,-24.43000031,-9.800000191,10.26000023
6508,3002,14540,59,144,-50,-24.43000031,-9.800000191,10.26000023
6508,3002,14540,59,144,-50,-24.43000031,-9.800000191,10.26000023
7086,2998,15116,342,-1,-154,-24.19000053,-10.43000031,10.22000027
7086,2998,15116,342,-1,-154,-24.19000053,-10.43000031,10.22000027
6304,3048,13656,298,-231,-137,-24.73999977,-11.56999969,10.25
6304,3048,13656,298,-231,-137,-24.73999977,-11.56999969,10.25
6380,3136,13510,24,103,-151,-24.89999962,-12.18999958,10.02999973
6380,3136,13510,24,103,-151,-24.89999962,-12.18999958,10.02999973
6518,3390,14606,-115,-39,-51,-24.61000061,-12.05000019,9.619999886
6518,3390,14606,-115,-39,-51,-24.61000061,-12.05000019,9.619999886
6622,3292,14208,112,-46,-25,-24.87999916,-12.02999973,9.529999733
6622,3292,14208,112,-46,-25,-24.87999916,-12.02999973,9.529999733
6622,3292,14208,112,-46,-25,-24.87999916,-12.02999973,9.529999733
6680,3640,14024,68,-50,14,-25.10000038,-12.40999985,9.649999619
6680,3640,14024,68,-50,14,-25.29999924,-12.14999962,9.739999771
6756,2768,14494,-66,-100,11,-25.29999924,-12.14999962,9.739999771
6622,2898,14194,56,-123,-32,-25.62999916,-12,9.590000153
6622,2898,14194,56,-123,-32,-25.62999916,-12,9.590000153
6796,3820,14260,76,-63,1,-25.92000008,-12.32999992,9.630000114
6796,3820,14260,76,-63,1,-25.92000008,-12.32999992,9.630000114
6796,3820,14260,76,-63,1,-25.92000008,-12.32999992,9.630000114
6642,3382,14400,-14,-251,13,-26.31999969,-12.34000015,9.699999809
6642,3382,14400,-14,-251,13,-26.31999969,-12.34000015,9.699999809
6874,3642,13716,-202,-137,40,-26.87999916,-12.10000038,9.569999695
6874,3642,13716,-202,-137,40,-26.87999916,-12.10000038,9.569999695
6874,3642,13716,-202,-137,40,-26.87999916,-12.10000038,9.569999695
7340,3122,14068,-247,-12,72,-27.04000092,-11.40999985,9.390000343
