ACC_X,ACC_Y,ACC_Z
12210,5096,10686
12210,5096,10686
12210,5096,10686
12642,3796,9382
12642,3796,9382
12642,3796,9382
12642,3796,9382
12896,3532,10508
12896,3532,10508
12558,4772,8022
12558,4772,8022
12558,4772,8022
12334,5728,9254
10504,3812,4922
10504,3812,4922
9986,5658,8682
9986,5658,8682
9986,5658,8682
7126,4108,2442
7126,4108,2442
5720,-970,4336
5720,-970,4336
5720,-970,4336
3120,2880,-4468
3120,2880,-4468
6074,2188,-1306
6074,2188,-1306
6074,2188,-1306
4176,4152,-10152
4176,4152,-10152
4176,4152,-10152
11348,6592,-1116
5856,8366,-6858
5856,8366,-6858
-6126,12278,12016
-6126,12278,12016
-6126,12278,12016
-9922,-3428,32767
-9922,-3428,32767
10116,-7804,32767
10116,-7804,32767
10116,-7804,32767
-3936,1958,8542
-3936,1958,8542
5170,2374,7568
3986,-4242,26406
3986,-4242,26406
3986,-4242,26406
2164,3404,13748
-1506,1088,13722
-1506,1088,13722
