ACC_X,ACC_Y,ACC_Z
12188,1574,11048
12280,2622,10566
12280,2622,10566
12280,2622,10566
12278,1718,10616
12376,1638,11186
12376,1638,11186
12376,1638,11186
12376,1638,11186
12496,1580,10832
12496,1580,10832
12970,850,11560
12402,2736,10456
12402,2736,10456
12402,2736,10456
12080,2020,9036
12080,2020,9036
11456,2858,8790
11456,2858,8790
11616,2088,9240
11616,2088,9240
10026,4250,5944
10026,4250,5944
10026,4250,5944
10026,4250,5944
9028,1976,8002
6762,4160,1562
6762,4160,1562
6762,4160,1562
6420,718,6718
6420,718,6718
6598,646,1866
6598,646,1866
6598,646,1866
5482,974,-68
6150,2158,-3784
6150,2158,-3784
6150,2158,-3784
7990,4650,-494
7990,4650,-494
7990,4650,-494
4880,7124,2144
4880,7124,2144
-8780,3384,25780
-8780,3384,25780
-32768,32767,32767
-32768,32767,32767
-32768,32767,32767
-32768,32767,32767
-4628,15608,32767
4984,6680,3796
4984,6680,3796
4984,6680,3796
186,10010,22994
186,10010,22994
-362,-812,11252
-362,-812,11252
-362,-812,11252
-362,-812,11252
6036,14464,12816
-5508,998,10608
