ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
9340,8156,10150,-76,-31,-14,-42.04000092,-31.17000008,139.0899963
9426,8484,10398,-41,-6,-12,-42.09999847,-31.21999931,138.9700012
9426,8484,10398,-41,-6,-12,-42.09999847,-31.21999931,138.9700012
9426,8484,10398,-41,-6,-12,-42.09999847,-31.21999931,138.9700012
9308,8306,10576,-12,39,4,-42.06999969,-31.29000092,138.9499969
9308,8306,10576,-12,39,4,-42.06999969,-31.29000092,138.9499969
9444,8482,10800,-19,-1,1,-42.02000046,-31.38999939,138.9600067
9378,8518,10200,-111,11,4,-42.02999878,-31.36000061,138.8399963
9378,8518,10200,-111,11,4,-42.02999878,-31.36000061,138.8399963
9326,8458,9606,-81,76,11,-41.90000153,-31.27000046,138.6600037
9326,8458,9606,-81,76,11,-41.90000153,-31.27000046,138.6600037
9326,8458,9606,-81,76,11,-41.90000153,-31.27000046,138.6600037
9244,8502,10404,-100,56,19,-41.70999908,-31.26000023,138.5899963
9432,8404,9944,-138,-37,-24,-41.65000153,-31.11000061,138.3300018
9432,8404,9944,-138,-37,-24,-41.65000153,-31.11000061,138.3300018
9374,8440,9834,2,-59,-11,-41.90999985,-31.20999908,138.2400055
9096,8332,10912,3,0,-11,-42.04000092,-31.43000031,138.3099976
9096,8332,10912,3,0,-11,-42.04000092,-31.43000031,138.3099976
9096,8332,10912,3,0,-11,-42.04000092,-31.43000031,138.3099976
9836,8902,10946,-89,-20,25,-42.00999832,-31.45999908,138.1900024
9836,8902,10946,-89,-20,25,-42.00999832,-31.45999908,138.1900024
9054,8322,10430,-58,25,143,-42.13000107,-31.20999908,138.3000031
9054,8322,10430,-58,25,143,-42,-31.10000038,138.4400024
9594,8342,10702,-29,83,26,-42,-31.10000038,138.4400024
9594,8342,10702,-29,83,26,-42.02999878,-30.85000038,138.4199982
9594,8342,10702,-29,83,26,-42.02999878,-30.85000038,138.4199982
9804,8100,9732,-171,-23,106,-42.02999878,-30.85000038,138.4199982
8668,7538,8514,-159,80,174,-42.22999954,-30.37999916,138.6000061
8668,7538,8514,-159,80,174,-42.22999954,-30.37999916,138.6000061
8732,7178,9068,-134,237,11,-41.81999969,-30,138.5500031
8732,7178,9068,-134,237,11,-41.81999969,-30,138.5500031
8914,7904,10678,-128,151,-19,-41.06999969,-29.89999962,138.2599945
8914,7904,10678,-128,151,-19,-41.06999969,-29.89999962,138.2599945
9710,8032,10028,-251,-79,-151,-40.93999863,-29.76000023,137.6799927
9686,7838,10316,-143,-96,-61,-41.20000076,-29.65999985,137.1000061
9686,7838,10316,-143,-96,-61,-41.20000076,-29.65999985,137.1000061
9686,7838,10316,-143,-96,-61,-41.27999878,-29.31999969,136.9499969
8368,7218,9404,-167,65,141,-41.27999878,-29.31999969,136.9499969
8368,7218,9404,-167,65,141,-40.77000046,-28.81999969,137.1000061
7586,6532,8794,-86,303,167,-40.77000046,-28.81999969,137.1000061
7586,6532,8794,-86,303,167,-40.77000046,-28.81999969,137.1000061
7190,6146,9724,-15,360,110,-39.81000137,-28.57999992,137.3999939
7190,6146,9724,-15,360,110,-39.81000137,-28.57999992,137.3999939
7190,6146,9724,-15,360,110,-39.81000137,-28.57999992,137.3999939
7176,5898,9236,-188,191,34,-38.93000031,-28.23999977,137.3000031
7176,5898,9236,-188,191,34,-38.93000031,-28.23999977,137.3000031
7176,5898,9236,-188,191,34,-38.93000031,-28.23999977,137.3000031
7540,6198,9748,-209,120,14,-38.34000015,-27.82999992,137
7540,6198,9748,-209,120,14,-38.34000015,-27.82999992,137
7504,5436,9808,-413,44,-102,-37.77999878,-27.05999947,136.2200012
7504,5436,9808,-413,44,-102,-37.77999878,-27.05999947,136.2200012
7914,6872,8768,-539,160,-49,-37.25999832,-26.29999924,135.0599976
7914,6872,8768,-539,160,-49,-37.25999832,-26.29999924,135.0599976
7612,5758,11630,-280,57,-209,-36.34999847,-25.54000092,134.0200043
7612,5758,11630,-280,57,-209,-36.34999847,-25.54000092,134.0200043
7612,5758,11630,-280,57,-209,-36.34999847,-25.54000092,134.0200043
9308,7658,13238,-504,-68,-339,-35.65999985,-25.37999916,132.3600006
9308,7658,13238,-504,-68,-339,-35.65999985,-25.37999916,132.3600006
9308,7658,13238,-504,-68,-339,-35.65999985,-25.37999916,132.3600006
9072,9212,11742,-759,160,-39,-35.02000046,-24.59000015,130.6300049
9072,9212,11742,-759,160,-39,-35.02000046,-24.59000015,130.6300049
8932,5360,15294,-556,288,-323,-33.56000137,-23.34000015,129.2400055
8932,5360,15294,-556,288,-323,-33.56000137,-23.34000015,129.2400055
10872,7890,13726,-1234,246,-430,-32.02999878,-21.79000092,126.2900009
10872,7890,13726,-1234,246,-430,-32.02999878,-21.79000092,126.2900009
8896,5992,12640,-486,246,-87,-31.23999977,-20.21999931,124.4499969
8896,5992,12640,-486,246,-87,-31.23999977,-20.21999931,124.4499969
8896,5992,12640,-486,246,-87,-31.23999977,-20.21999931,124.4499969
8558,6452,15858,-124,298,-77,-30.07999992,-19.95000076,123.8199997
8558,6452,15858,-124,298,-77,-30.07999992,-19.95000076,123.8199997
8558,6452,15858,-124,298,-77,-30.07999992,-19.95000076,123.8199997
8370,7076,16510,-41,244,72,-29.20999908,-20.02000046,123.6500015
8370,7076,16510,-41,244,72,-29.20999908,-20.02000046,123.6500015
6952,5852,15702,-218,178,159,-28.38999939,-19.52000046,123.8799973
6952,5852,15702,-218,178,159,-28.38999939,-19.52000046,123.8799973
7614,5532,16646,-164,58,-93,-27.77000046,-19.19000053,123.5899963
7614,5532,16646,-164,58,-93,-27.77000046,-19.19000053,123.5899963
7496,4866,15516,-525,-11,35,-27.35000038,-18.13999939,122.8300018
7496,4866,15516,-525,-11,35,-27.35000038,-18.13999939,122.8300018
7496,4866,15516,-525,-11,35,-27.35000038,-18.13999939,122.8300018
6568,4120,13152,-525,167,212,-27.05999947,-16.54999924,122.4700012
6568,4120,13152,-525,167,212,-27.05999947,-16.54999924,122.4700012
6568,4120,13152,-525,167,212,-27.05999947,-16.54999924,122.4700012
6570,3228,14168,-723,208,106,-26.19000053,-14.68999958,122.0899963
6570,3228,14168,-723,208,106,-26.19000053,-14.68999958,122.0899963
7136,2934,13858,-760,-192,-144,-26.03000069,-12.52999973,120.9599991
7136,2934,13858,-760,-192,-144,-26.03000069,-12.52999973,120.9599991
7560,2562,15524,-961,-717,-298,-27.02000046,-10.46000004,119.1500015
7560,2562,15524,-961,-717,-298,-27.02000046,-10.46000004,119.1500015
7560,2562,15524,-961,-717,-298,-27.02000046,-10.46000004,119.1500015
7580,2580,14262,-1319,-1164,-367,-29.55999947,-8.119999886,116.4499969
7402,738,8846,-1275,-788,-185,-32.72999954,-4.949999809,113.6600037
7402,738,8846,-1275,-788,-185,-32.72999954,-4.949999809,113.6600037
7108,1224,9618,152,79,-433,-33.95000076,-4.090000153,111.7900009
7108,1224,9618,152,79,-433,-33.95000076,-4.090000153,111.7900009
7108,1224,9618,152,79,-433,-33.95000076,-4.090000153,111.7900009
8212,3870,20412,861,492,-633,-31.54999924,-7.579999924,111.7200012
8212,3870,20412,861,492,-633,-31.54999924,-7.579999924,111.7200012
9166,3516,11684,187,438,-312,-30.47999954,-9.859999657,110.9899979
9166,3516,11684,187,438,-312,-30.47999954,-9.859999657,110.9899979
9166,3516,11684,187,438,-312,-30.04000092,-11.73999977,111.3700027
8400,3356,10078,871,343,-126,-30.04000092,-11.73999977,111.3700027
8400,3356,10078,871,343,-126,-30.03000069,-15.60000038,113
8508,5400,14138,1352,90,-112,-30.03000069,-15.60000038,113
8508,5400,14138,1352,90,-112,-30.39999962,-18.29999924,114.7600021
7932,5854,16580,595,-163,174,-30.39999962,-18.29999924,114.7600021
5756,2016,15320,-179,-213,434,-31.12999916,-18.32999992,115.9300003
5756,2016,15320,-179,-213,434,-31.12999916,-18.32999992,115.9300003
5756,2016,15320,-179,-213,434,-31.12999916,-18.32999992,115.9300003
5756,2016,15320,-179,-213,434,-31.12999916,-18.32999992,115.9300003
6086,1750,12240,-1234,-336,258,-31.32999992,-14.89000034,115.2099991
8150,3682,13404,301,-175,136,-32.09999847,-13.82999992,115.1600037
8150,3682,13404,301,-175,136,-32.09999847,-13.82999992,115.1600037
8360,3752,15194,-107,-91,275,-32.49000168,-13.94999981,115.8899994
8360,3752,15194,-107,-91,275,-32.49000168,-13.94999981,115.8899994
8360,3752,15194,-107,-91,275,-32.49000168,-13.94999981,115.8899994
8574,3522,13380,-547,-397,139,-33.13000107,-12.73999977,115.8799973
8574,3522,13380,-547,-397,139,-34.79999924,-11.64999962,115.1999969
9868,2858,10718,-268,-355,-102,-34.79999924,-11.64999962,115.1999969
9868,2858,10718,-268,-355,-102,-36.27999878,-12.10999966,115.0100021
9868,2858,10718,-268,-355,-102,-36.27999878,-12.10999966,115.0100021
11358,4116,11786,92,-112,-45,-36.27999878,-12.10999966,115.0100021
11358,4116,11786,92,-112,-45,-36.38999939,-12.13000011,115.5599976
9070,3960,14138,-94,87,319,-36.38999939,-12.13000011,115.5599976
8206,2604,12308,-169,-25,104,-36.22000122,-11.40999985,115.8000031
8206,2604,12308,-169,-25,104,-36.22000122,-11.40999985,115.8000031
9678,3392,12946,47,0,-9,-36.31999969,-11.47000027,115.7699966
9678,3392,12946,47,0,-9,-36.31999969,-11.47000027,115.7699966
9678,3392,12946,47,0,-9,-36.31999969,-11.47000027,115.7699966
9290,3378,13488,-57,-62,143,-36.47999954,-11.53999996,115.9800034
9016,2662,12476,-130,-21,64,-36.61000061,-11.13000011,116.0500031
9016,2662,12476,-130,-21,64,-36.61000061,-11.13000011,116.0500031
9016,2662,12476,-130,-21,64,-36.61000061,-11.13000011,116.0500031
10312,3340,12942,-95,-9,121,-36.72999954,-10.93000031,116.0299988
10312,3340,12942,-95,-9,121,-36.72999954,-10.93000031,116.0299988
10312,3340,12942,-95,-9,121,-36.72999954,-10.93000031,116.0299988
9204,2634,12648,-52,-76,207,-37.00999832,-10.55000019,116.4499969
9204,2634,12648,-52,-76,207,-37.00999832,-10.55000019,116.4499969
9072,2670,12790,74,-45,48,-37.25,-10.47999954,116.7799988
9492,3058,12848,-30,-53,-37,-37.40999985,-10.76000023,116.8199997
9492,3058,12848,-30,-53,-37,-37.40999985,-10.76000023,116.8199997
9836,3180,12736,-86,-4,23,-37.50999832,-10.81000042,116.6999969
