ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
8738,3054,13024,-86,-33,15,-33.47999954,-11.14000034,171.0099945
8848,3172,13192,-63,22,11,-33.54000092,-11.10999966,170.9299927
8848,3172,13192,-63,22,11,-33.54000092,-11.10999966,170.9299927
8848,3172,13192,-63,22,11,-33.54000092,-11.10999966,170.9299927
8620,2920,13334,-91,2,4,-33.45999908,-11.02000046,170.8399963
8620,2920,13334,-91,2,4,-33.45999908,-11.02000046,170.8399963
8620,2920,13334,-91,2,4,-33.45999908,-11.02000046,170.8399963
8720,3062,12990,-7,13,-4,-33.5,-11.05000019,170.7599945
8720,3062,12990,-7,13,-4,-33.5,-11.05000019,170.7599945
8552,2994,13210,-5,12,9,-33.45999908,-11.17000008,170.7599945
8552,2994,13210,-5,12,9,-33.45999908,-11.17000008,170.7599945
8890,3378,13202,-17,-27,-17,-33.52000046,-11.35000038,170.7299957
8738,3296,13104,-70,21,33,-33.58000183,-11.39999962,170.6900024
8540,3202,13442,-89,36,33,-33.45999908,-11.31999969,170.6499939
8540,3202,13442,-89,36,33,-33.45999908,-11.31999969,170.6499939
8828,3110,12854,-48,4,-14,-33.43000031,-11.27000046,170.5500031
8828,3110,12854,-48,4,-14,-33.43000031,-11.27000046,170.5500031
8828,3110,12854,-48,4,-14,-33.43000031,-11.27000046,170.5500031
8840,3132,13452,-8,7,12,-33.45999908,-11.36999989,170.5299988
8840,3132,13452,-8,7,12,-33.45999908,-11.36999989,170.5299988
8730,3496,12838,-1,-26,-11,-33.54000092,-11.53999996,170.5099945
8730,3496,12838,-1,-26,-11,-33.54000092,-11.53999996,170.5099945
8730,3496,12838,-1,-26,-11,-33.54000092,-11.53999996,170.5099945
8446,3442,13842,46,-8,0,-33.59000015,-12.17000008,170.5399933
8446,3442,13842,46,-8,0,-33.59000015,-12.17000008,170.5399933
8734,3950,13040,18,14,-25,-33.59000015,-12.17000008,170.5399933
8704,3170,13746,175,-111,30,-33.70999908,-12.48999977,170.8000031
8704,3170,13746,175,-111,30,-33.70999908,-12.48999977,170.8000031
9444,3616,12022,344,99,25,-34.15999985,-13.36999989,171.3000031
9444,3616,12022,344,99,25,-34.15999985,-13.36999989,171.3000031
7860,2762,14222,-29,223,207,-33.54000092,-13.5,171.9499969
7860,2762,14222,-29,223,207,-33.54000092,-13.5,171.9499969
8238,4244,12628,40,25,194,-33.20000076,-13.31000042,172.4199982
8238,4244,12628,40,25,194,-33.20000076,-13.31000042,172.4199982
8238,4244,12628,40,25,194,-33.20000076,-13.31000042,172.4199982
7946,3102,11692,515,59,124,-33.52999878,-13.97999954,173.4499969
8942,7220,11390,666,552,245,-33.16999817,-15.59000015,174.7599945
8942,7220,11390,666,552,245,-33.16999817,-15.59000015,174.7599945
6318,5020,15288,97,546,334,-31.53000069,-16.70000076,176.4700012
6318,5020,15288,97,546,334,-31.53000069,-16.70000076,176.4700012
6336,4748,10226,-296,145,308,-30.42000008,-15.67000008,176.7400055
6336,4748,10226,-296,145,308,-30.42000008,-15.67000008,176.7400055
5914,2504,12010,312,29,235,-30.56999969,-15.68999958,177.8300018
5914,2504,12010,312,29,235,-30.56999969,-15.68999958,177.8300018
5914,2504,12010,312,29,235,-30.56999969,-15.68999958,177.8300018
8406,3308,14046,-237,-136,132,-30.57999992,-15.34000015,178.1799927
10152,2032,16060,-90,-685,-24,-31.95999908,-14.60000038,178.1900024
10152,2032,16060,-90,-685,-24,-31.95999908,-14.60000038,178.1900024
10152,2032,16060,-90,-685,-24,-31.95999908,-14.60000038,178.1900024
10282,3634,14414,-87,-498,438,-34.25,-14.01000023,178.5200043
10282,3634,14414,-87,-498,438,-34.25,-14.01000023,178.5200043
10282,3634,14414,-87,-498,438,-34.25,-14.01000023,178.5200043
9380,3794,14316,-373,-237,607,-35.38999939,-12.52999973,179.6600037
9380,3794,14316,-373,-237,607,-35.38999939,-12.52999973,179.6600037
8614,3694,12020,-432,-64,603,-36.06000137,-10.72999954,-179.4799957
8614,3694,12020,-432,-64,603,-36.06000137,-10.72999954,-179.4799957
8614,3694,12020,-432,-64,603,-36.06000137,-10.72999954,-179.4799957
9882,2528,13320,-438,-288,121,-36.5,-9.170000076,-179.3699951
9882,2528,13320,-438,-288,121,-36.5,-9.170000076,-179.3699951
9882,2528,13320,-438,-288,121,-36.5,-9.170000076,-179.3699951
12250,4090,10368,69,-592,-189,-38.97999954,-9.390000343,-179.8899994
12250,4090,10368,69,-592,-189,-38.97999954,-9.390000343,-179.8899994
13640,3482,13760,314,-313,-503,-40.93000031,-10.88000011,-179.9700012
13640,3482,13760,314,-313,-503,-40.93000031,-10.88000011,-179.9700012
13640,3482,13760,314,-313,-503,-40.93000031,-10.88000011,-179.9700012
14780,5288,13896,-67,-300,-97,-42.40999985,-12.47000027,179.5599976
14780,5288,13896,-67,-300,-97,-42.40999985,-12.47000027,179.5599976
14780,5288,13896,-67,-300,-97,-42.40999985,-12.47000027,179.5599976
10754,3034,12652,-170,-441,297,-43.68999863,-11.82999992,179.6699982
10754,3034,12652,-170,-441,297,-43.68999863,-11.82999992,179.6699982
10792,3552,11800,153,-428,16,-45.18999863,-11.75,179.9799957
10696,2970,13558,-132,-344,-77,-45.97999954,-11.94999981,179.9600067
10696,2970,13558,-132,-344,-77,-45.97999954,-11.94999981,179.9600067
10696,2970,13558,-132,-344,-77,-45.97999954,-11.94999981,179.9600067
10696,2970,13558,-132,-344,-77,-45.97999954,-11.94999981,179.9600067
11652,3276,11480,-220,-558,-226,-47.02000046,-11.96000004,179.0700073
11652,3276,11480,-220,-558,-226,-48.31999969,-12.32999992,178.3600006
12068,3332,10330,-71,-226,-224,-48.31999969,-12.32999992,178.3600006
12068,3332,10330,-71,-226,-224,-48.31999969,-12.32999992,178.3600006
12068,3332,10330,-71,-226,-224,-48.31999969,-12.32999992,178.3600006
12468,3896,11416,-128,17,-218,-48.36000061,-12.81999969,177.6399994
12468,3896,11416,-128,17,-218,-48.27000046,-12.97999954,177.0200043
11794,3750,11268,-175,-92,-61,-48.27000046,-12.97999954,177.0200043
11794,3750,11268,-175,-92,-61,-48.27000046,-12.97999954,177.0200043
12010,3896,10602,-59,-152,-176,-48.61999893,-13.19999981,176.4299927
12010,3896,10602,-59,-152,-176,-48.61999893,-13.19999981,176.4299927
12010,3896,10602,-59,-152,-176,-48.61999893,-13.19999981,176.4299927
9880,3244,10454,77,121,-245,-48.40000153,-13.72000027,176.0599976
9880,3244,10454,77,121,-245,-48.40000153,-13.72000027,176.0599976
12400,4836,10182,331,557,-854,-47.20999908,-15.72999954,175.1600037
12400,4836,10182,331,557,-854,-47.20999908,-15.72999954,175.1600037
12872,4270,14750,-25,215,-352,-45.24000168,-17.14999962,174.3000031
12872,4270,14750,-25,215,-352,-45.24000168,-17.14999962,174.3000031
11496,5586,9818,-1,-60,-100,-45.45999908,-17.72999954,173.8000031
11496,5586,9818,-1,-60,-100,-45.45999908,-17.72999954,173.8000031
11306,5082,12478,-276,162,-57,-44.97000122,-17.80999947,173.5800018
11306,5082,12478,-276,162,-57,-44.97000122,-17.80999947,173.5800018
11306,5082,12478,-276,162,-57,-45.38000107,-17.62000084,172.8200073
10634,5590,9652,-259,-348,-7,-45.38000107,-17.62000084,172.8200073
10922,4406,11290,-238,-322,-315,-45.97999954,-17.51000023,171.8999939
10922,4406,11290,-238,-322,-315,-45.97999954,-17.51000023,171.8999939
10922,4406,11290,-238,-322,-315,-45.97999954,-17.51000023,171.8999939
11132,6788,9498,-119,-253,56,-47,-18.20000076,171.1000061
11132,6788,9498,-119,-253,56,-47,-18.20000076,171.1000061
