ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
4556,13666,7154,-154,63,-12,-34.16999817,-59.29999924,137.4499969
4662,13806,6326,-93,70,20,-33.84999847,-59.11999893,137.2400055
4662,13806,6326,-93,70,20,-33.84999847,-59.11999893,137.2400055
4662,13806,6326,-93,70,20,-33.84999847,-59.11999893,137.2400055
4406,13788,7000,-16,60,38,-33.84999847,-59.13999939,137.4400024
4406,13788,7000,-16,60,38,-33.84999847,-59.13999939,137.4400024
4320,13660,6880,-56,-37,2,-33.84999847,-59.15999985,137.4499969
4320,13660,6880,-56,-37,2,-33.84999847,-59.15999985,137.4499969
4320,13660,6880,-56,-37,2,-33.84999847,-59.15999985,137.4499969
4324,13778,6658,-64,-75,6,-34.02000046,-59.20000076,137.3899994
4324,13778,6658,-64,-75,6,-34.02000046,-59.20000076,137.3899994
4388,14086,7652,-100,-92,12,-34.11000061,-59.18000031,137.2100067
4388,14086,7652,-100,-92,12,-34.11000061,-59.18000031,137.2100067
3892,14004,5850,-211,-113,82,-34.16999817,-58.86000061,136.8699951
3920,13724,5476,38,132,190,-34.68999863,-58.86999893,137.4700012
3920,13724,5476,38,132,190,-34.68999863,-58.86999893,137.4700012
3770,13650,6630,35,243,271,-35.16999817,-58.88000107,138.8200073
3770,13650,6630,35,243,271,-35.16999817,-58.88000107,138.8200073
3770,13650,6630,35,243,271,-35.16999817,-58.88000107,138.8200073
3622,14160,6552,33,145,344,-35.77999878,-58.68999863,140.2899933
3622,14160,6552,33,145,344,-35.77999878,-58.68999863,140.2899933
4202,14490,6530,56,82,338,-36.88999939,-58.52000046,142.0099945
4202,14490,6530,56,82,338,-36.88999939,-58.52000046,142.0099945
5380,15748,7298,170,16,434,-38.63999939,-58.40999985,144.2200012
5380,15748,7298,170,16,434,-38.63999939,-58.40999985,144.2200012
5718,15772,8238,289,-36,511,-41.27999878,-58.22999954,147.3099976
5718,15772,8238,289,-36,511,-41.27999878,-58.22999954,147.3099976
5718,15772,8238,289,-36,511,-41.27999878,-58.22999954,147.3099976
6338,17892,8064,344,-16,592,-44.25,-58.04999924,150.7100067
6338,17892,8064,344,-16,592,-44.25,-58.04999924,150.7100067
4154,18330,9048,758,300,618,-47.52000046,-58.40999985,155.2700043
4154,18330,9048,758,300,618,-47.52000046,-58.40999985,155.2700043
5896,17722,11000,514,451,152,-48.66999817,-59.13000107,158.6000061
5896,17722,11000,514,451,152,-48.66999817,-59.13000107,158.6000061
6198,17792,9406,227,258,139,-48.22000122,-59.54999924,159.5899963
6198,17792,9406,227,258,139,-48.22000122,-59.54999924,159.5899963
5356,16502,9270,271,351,130,-48.13000107,-59.86999893,160.7799988
5356,16502,9270,271,351,130,-48.13000107,-59.86999893,160.7799988
6908,16198,10394,-3,374,-62,-46.63000107,-59.99000168,160.7299957
6908,16198,10394,-3,374,-62,-46.63000107,-59.99000168,160.7299957
7740,15434,7162,-49,177,8,-45.34999847,-59.65000153,160.0700073
7740,15434,7162,-49,177,8,-45.34999847,-59.65000153,160.0700073
6262,13790,7218,-104,575,60,-44.47999954,-59.40999985,160.3800049
6262,13790,7218,-104,575,60,-44.47999954,-59.40999985,160.3800049
6970,13222,5272,-315,672,-155,-41.49000168,-58.86000061,159.1999969
6970,13222,5272,-315,672,-155,-41.49000168,-58.86000061,159.1999969
5708,12018,3952,-193,911,97,-39.36999893,-58.58000183,159.1999969
5708,12018,3952,-193,911,97,-39.36999893,-58.58000183,159.1999969
5708,12018,3952,-193,911,97,-36.29000092,-58.65000153,158.7899933
6090,11528,2896,-125,1025,-341,-36.29000092,-58.65000153,158.7899933
6090,11528,2896,-125,1025,-341,-36.29000092,-58.65000153,158.7899933
6290,13036,2040,157,1063,-268,-33.45000076,-59.61000061,158.6300049
6290,13036,2040,157,1063,-268,-33.45000076,-59.61000061,158.6300049
4920,10538,3756,420,1346,-689,-29.98999977,-61.52999878,158.5399933
4920,10538,3756,420,1346,-689,-29.98999977,-61.52999878,158.5399933
4920,10538,3756,420,1346,-689,-23.59000015,-63.68999863,155.3000031
7314,11304,4338,291,1122,-1125,-23.59000015,-63.68999863,155.3000031
7314,11304,4338,291,1122,-1125,-23.59000015,-63.68999863,155.3000031
6530,11608,3300,562,889,-1196,-19.10000038,-66.15000153,152.6199951
6530,11608,3300,562,889,-1196,-19.10000038,-66.15000153,152.6199951
4126,10620,4214,397,938,-1160,-12.56999969,-68.51000214,148.0399933
4126,10620,4214,397,938,-1160,-12.56999969,-68.51000214,148.0399933
4126,10620,4214,397,938,-1160,-12.56999969,-68.51000214,148.0399933
3446,10624,3658,110,590,-1109,-4.769999981,-69.62000275,141.6499939
3446,10624,3658,110,590,-1109,-4.769999981,-69.62000275,141.6499939
3446,10624,3658,110,590,-1109,-4.769999981,-69.62000275,141.6499939
3118,10306,4046,152,308,-811,0.829999983,-70.20999908,136.6000061
3118,10306,4046,152,308,-811,0.829999983,-70.20999908,136.6000061
2660,11302,3770,154,53,-385,2.849999905,-70.76000214,134.5399933
2660,11302,3770,154,53,-385,2.849999905,-70.76000214,134.5399933
2660,11302,3770,154,53,-385,2.849999905,-70.76000214,134.5399933
3044,12422,4292,153,-57,-42,2.309999943,-71.44000244,134.7700043
3044,12422,4292,153,-57,-42,2.309999943,-71.44000244,134.7700043
2974,12656,4726,76,-239,163,-1.210000038,-71.83999634,137.7799988
2974,12656,4726,76,-239,163,-1.210000038,-71.83999634,137.7799988
2372,11984,5046,10,-394,376,-6.940000057,-72.02999878,142.4499969
2372,11984,5046,10,-394,376,-6.940000057,-72.02999878,142.4499969
2104,12052,3440,-370,-669,551,-13.80000019,-71.05000305,147.8300018
2104,12052,3440,-370,-669,551,-13.80000019,-71.05000305,147.8300018
2104,12052,3440,-370,-669,551,-22.81999969,-70.15000153,154.6699982
1590,12264,2786,21,-849,867,-22.81999969,-70.15000153,154.6699982
2884,11546,3520,45,-704,870,-32.86999893,-69.19999695,162.7799988
2884,11546,3520,45,-704,870,-32.86999893,-69.19999695,162.7799988
2884,11546,3520,45,-704,870,-32.86999893,-69.19999695,162.7799988
3984,12534,4310,-78,-748,933,-41.15999985,-67.47000122,169.2400055
3984,12534,4310,-78,-748,933,-41.15999985,-67.47000122,169.2400055
3558,12790,3352,-109,-806,1060,-48.63999939,-65.01000214,174.6900024
3558,12790,3352,-109,-806,1060,-48.63999939,-65.01000214,174.6900024
3558,12790,3352,-109,-806,1060,-48.63999939,-65.01000214,174.6900024
3440,15606,5078,90,-870,933,-55.04999924,-62.93000031,178.9499969
3440,15606,5078,90,-870,933,-55.04999924,-62.93000031,178.9499969
3440,15606,5078,90,-870,933,-60.22999954,-61.43999863,-177.5700073
1764,15896,4724,151,-596,747,-60.22999954,-61.43999863,-177.5700073
1764,15896,4724,151,-596,747,-60.22999954,-61.43999863,-177.5700073
2086,18150,5542,320,-420,412,-63.24000168,-61.22000122,-175.5099945
2086,18150,5542,320,-420,412,-63.24000168,-61.22000122,-175.5099945
3158,17302,6434,107,-218,176,-65.12999725,-61.33000183,-174.0500031
3158,17302,6434,107,-218,176,-65.12999725,-61.33000183,-174.0500031
3158,17302,6434,107,-218,176,-65.12999725,-61.33000183,-174.0500031
1138,19354,4574,204,-6,88,-65.30999756,-62.09000015,-174.0200043
