ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
10092,-250,12724,49,101,-111,-36.88999939,1.590000033,7.050000191
9858,302,12872,26,124,51,-36.59000015,1.360000014,7.03000021
9858,302,12872,26,124,51,-36.59000015,1.360000014,7.03000021
9858,302,12872,26,124,51,-36.09000015,1.169999957,7.380000114
8788,732,12224,159,227,90,-36.09000015,1.169999957,7.380000114
8788,732,12224,159,227,90,-36.09000015,1.169999957,7.380000114
7792,136,14156,66,286,165,-35.04999924,0.899999976,7.980000019
8292,-1018,14982,-273,41,73,-34.16999817,1.440000057,8.090000153
8292,-1018,14982,-273,41,73,-34.16999817,1.440000057,8.090000153
8292,-1018,14982,-273,41,73,-34.16999817,1.440000057,8.090000153
8380,194,10602,-523,59,307,-34.31999969,2.720000029,7.820000172
8380,194,10602,-523,59,307,-33.70999908,4.170000076,8.319999695
7448,-228,10670,-188,378,569,-33.70999908,4.170000076,8.319999695
7448,-228,10670,-188,378,569,-33.70999908,4.170000076,8.319999695
6566,260,11452,-739,513,761,-31.87000084,6.340000153,9.520000458
6566,260,11452,-739,513,761,-31.87000084,6.340000153,9.520000458
7976,2220,8962,486,970,209,-30.13999939,6.889999866,10.30000019
7976,2220,8962,486,970,209,-30.13999939,6.889999866,10.30000019
7976,2220,8962,486,970,209,-30.13999939,6.889999866,10.30000019
3844,5402,9186,-801,1441,1269,-25.96999931,6.809999943,12.26000023
3844,5402,9186,-801,1441,1269,-20.84000015,12.38000011,15.18999958
-1546,-4156,694,-1339,1249,1566,-20.84000015,12.38000011,15.18999958
-1532,3824,3548,-677,1527,1581,-15.10999966,15.10999966,18.78000069
-1532,3824,3548,-677,1527,1581,-15.10999966,15.10999966,18.78000069
7306,-1198,6032,-1975,1249,222,-11.18999958,19.64999962,20.51000023
7306,-1198,6032,-1975,1249,222,-11.18999958,19.64999962,20.51000023
7306,-1198,6032,-1975,1249,222,-11.18999958,19.64999962,20.51000023
2998,9996,-1542,-3568,1131,2711,-7.510000229,25.15999985,23.5
2998,9996,-1542,-3568,1131,2711,-7.510000229,25.15999985,23.5
-5874,-4642,662,408,860,2064,1.200000048,32.56999969,32.83000183
-5874,-4642,662,408,860,2064,1.200000048,32.56999969,32.83000183
-11816,-12394,22834,-1297,51,2064,9.699999809,30.13999939,42.06000137
6068,-23666,25412,343,1012,1710,9.840000153,33.45999908,44.75
6068,-23666,25412,343,1012,1710,9.840000153,33.45999908,44.75
6068,-23666,25412,343,1012,1710,9.840000153,33.45999908,44.75
20368,32767,32767,-32711,247,-882,11.51000023,3.75999999,42.81000137
20368,32767,32767,-32711,247,-882,13.97000027,20.28000069,41.22999954
20368,32767,32767,-32711,247,-882,13.97000027,20.28000069,41.22999954
-32768,32767,-32768,-32710,-6863,1067,13.97000027,20.28000069,41.22999954
-32768,32767,-32768,-32710,-6863,1067,13.97000027,20.28000069,41.22999954
-19208,32767,32767,11157,-3639,2016,10.02999973,6.119999886,45.58000183
-19208,32767,32767,11157,-3639,2016,10.02999973,6.119999886,45.58000183
-10296,-27306,32767,-5577,-98,-1443,3.859999895,2.230000019,48.97999954
-10296,-27306,32767,-5577,-98,-1443,3.859999895,2.230000019,48.97999954
5620,-5086,-19098,-7986,-2822,-3393,-3.569999933,35.43999863,38.93999863
5620,-5086,-19098,-7986,-2822,-3393,-3.569999933,35.43999863,38.93999863
2306,-90,7988,1080,1030,-2999,-16.73999977,39.5,22.22999954
2306,-90,7988,1080,1030,-2999,-16.73999977,39.5,22.22999954
-4304,-3490,15782,-1915,2672,-1111,-12.32999992,38.56999969,17.67000008
-4304,-3490,15782,-1915,2672,-1111,-12.32999992,38.56999969,17.67000008
3670,-14874,8822,-1096,312,-1862,-14.34000015,43.99000168,9.359999657
3670,-14874,8822,-1096,312,-1862,-14.34000015,43.99000168,9.359999657
3670,-14874,8822,-1096,312,-1862,-14.34000015,43.99000168,9.359999657
5720,-8734,-2132,1190,0,-1931,-21.76000023,43.27999878,0.379999995
5720,-8734,-2132,1190,0,-1931,-21.76000023,43.27999878,0.379999995
3400,-8020,13320,2865,519,-1243,-21.90999985,34.90999985,-1.620000005
3400,-8020,13320,2865,519,-1243,-21.90999985,34.90999985,-1.620000005
3400,-8020,13320,2865,519,-1243,-21.90999985,34.90999985,-1.620000005
3708,-4786,9074,799,712,-1497,-21.06999969,27.89999962,-3.410000086
5658,-7534,10820,1411,1194,-1180,-19.79999924,23.87000084,-7.210000038
5658,-7534,10820,1411,1194,-1180,-19.79999924,23.87000084,-7.210000038
4608,-2762,12818,1967,1451,-987,-16.73999977,17.97999954,-8.68999958
4608,-2762,12818,1967,1451,-987,-16.73999977,17.97999954,-8.68999958
4600,-2448,23818,1910,939,-762,-13.02999973,10.31999969,-9.699999809
4600,-2448,23818,1910,939,-762,-13.02999973,10.31999969,-9.699999809
4600,-2448,23818,1910,939,-762,-13.02999973,10.31999969,-9.699999809
1628,246,16910,-627,-14,468,-11.81999969,8.409999847,-9.630000114
1628,246,16910,-627,-14,468,-11.81999969,8.409999847,-9.630000114
2172,-3002,9958,-102,-204,995,-12.14000034,10.65999985,-7.559999943
2172,-3002,9958,-102,-204,995,-11.71000004,8.649999619,-3.599999905
1800,-3542,15538,1566,-44,1137,-11.71000004,8.649999619,-3.599999905
1800,-3542,15538,1566,-44,1137,-11.77999973,5.480000019,0.100000001
1870,-2542,19040,834,-441,700,-11.77999973,5.480000019,0.100000001
1870,-2542,19040,834,-441,700,-11.77999973,5.480000019,0.100000001
1870,-2542,19040,834,-441,700,-13.31000042,4.21999979,2.369999886
3756,330,19966,-143,-734,805,-14.65999985,6.510000229,5.260000229
3756,330,19966,-143,-734,805,-14.65999985,6.510000229,5.260000229
2544,-1566,12302,507,-199,873,-15.14999962,7.420000076,8.25
2544,-1566,12302,507,-199,873,-15.14999962,7.420000076,8.25
2544,-1566,12302,507,-199,873,-15.14999962,7.420000076,8.25
258,-2442,16056,22,148,593,-13.86999989,6.610000134,10.93000031
258,-2442,16056,22,148,593,-13.86999989,6.610000134,10.93000031
258,-2442,16056,22,148,593,-13.86999989,6.610000134,10.93000031
2822,-1982,14990,70,569,8,-12.35000038,7.389999866,11.68000031
2822,-1982,14990,70,569,8,-10.86999989,6.46999979,11.47000027
2708,-1248,18356,83,337,-132,-10.86999989,6.46999979,11.47000027
2266,-1442,16646,-264,-67,2,-10.5,6.78000021,11.22000027
2266,-1442,16646,-264,-67,2,-10.5,6.78000021,11.22000027
2266,-1442,16646,-264,-67,2,-10.5,6.78000021,11.22000027
2392,-1142,16166,-64,-431,-58,-11.09000015,6.929999828,11.10999966
2392,-1142,16166,-64,-431,-58,-11.09000015,6.929999828,11.10999966
2040,-2768,14376,-10,-708,-72,-12.64000034,7.179999828,10.93000031
2040,-2768,14376,-10,-708,-72,-12.64000034,7.179999828,10.93000031
2856,-1904,13892,166,-460,-50,-14.31999969,6.829999924,10.86999989
2856,-1904,13892,166,-460,-50,-14.31999969,6.829999924,10.86999989
2856,-1904,13892,166,-460,-50,-14.31999969,6.829999924,10.86999989
2932,-564,13882,92,230,-223,-14.61999989,6.260000229,10.60000038
3248,-592,11270,204,1067,-186,-12.72999954,5.929999828,9.989999771
3248,-592,11270,204,1067,-186,-12.72999954,5.929999828,9.989999771
3248,-592,11270,204,1067,-186,-12.72999954,5.929999828,9.989999771
2728,-1334,17368,571,1511,76,-8.510000229,4.150000095,10.14999962
2728,-1334,17368,571,1511,76,-8.510000229,4.150000095,10.14999962
1340,-560,20976,-670,626,339,-5.079999924,4.130000114,10.88000011
1340,-560,20976,-670,626,339,-5.079999924,4.130000114,10.88000011
1340,-560,20976,-670,626,339,-5.079999924,4.130000114,10.88000011
1004,-1894,17880,-189,-608,264,-6.230000019,8,12.72000027
1004,-1894,17880,-189,-608,264,-6.230000019,8,12.72000027
