ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
8626,7330,11514,-41,-63,-49,-37.90000153,-27.06999969,-88.04000092
8626,7330,11514,-41,-63,-49,-37.90000153,-27.06999969,-88.04000092
8720,7308,11302,-78,-42,-22,-37.97999954,-27.12000084,-88.27999878
8720,7308,11302,-78,-42,-22,-37.97999954,-27.12000084,-88.27999878
8720,7308,11302,-78,-42,-22,-37.86000061,-27.09000015,-88.56999969
8800,7368,11846,-104,-6,-52,-37.86000061,-27.09000015,-88.56999969
8800,7368,11846,-104,-6,-52,-37.86000061,-27.09000015,-88.56999969
8932,7310,11416,-141,-27,-33,-37.77000046,-26.95999908,-88.94999695
8932,7310,11416,-141,-27,-33,-37.77000046,-26.95999908,-88.94999695
9354,7092,11584,-70,-84,-50,-37.91999817,-26.79999924,-89.20999908
9354,7092,11584,-70,-84,-50,-37.91999817,-26.79999924,-89.20999908
9122,7496,10982,14,-70,60,-38.40999985,-26.89999962,-89.18000031
9122,7496,10982,14,-70,60,-38.40999985,-26.89999962,-89.18000031
9122,7496,10982,14,-70,60,-38.40999985,-26.89999962,-89.18000031
8666,7324,11640,35,167,124,-38.38000107,-26.95000076,-88.81999969
8666,7324,11640,35,167,124,-38,-26.94000053,-88.51000214
8632,7170,11580,8,143,66,-38,-26.94000053,-88.51000214
8632,7170,11580,8,143,66,-37.77999878,-26.95999908,-88.31999969
8632,7170,11580,8,143,66,-37.77999878,-26.95999908,-88.31999969
8780,7440,11144,1,100,64,-37.77999878,-26.95999908,-88.31999969
8800,7638,11778,-40,69,53,-37.63999939,-27.02000046,-88.13999939
8800,7638,11778,-40,69,53,-37.63999939,-27.02000046,-88.13999939
8800,7638,11778,-40,69,53,-37.63999939,-27.02000046,-88.13999939
8630,7540,11076,-109,35,77,-37.54000092,-26.85000038,-88.12999725
8630,7540,11076,-109,35,77,-37.54000092,-26.85000038,-88.12999725
8580,7600,11412,-52,78,42,-37.43000031,-26.79999924,-88.08999634
8580,7600,11412,-52,78,42,-37.43000031,-26.79999924,-88.08999634
8180,7106,11240,-71,147,62,-37.08000183,-26.69000053,-88.05999756
7892,7294,11314,7,119,53,-36.72000122,-26.73999977,-87.94999695
7892,7294,11314,7,119,53,-36.72000122,-26.73999977,-87.94999695
7892,7294,11314,7,119,53,-36.72000122,-26.73999977,-87.94999695
7774,6986,11076,0,97,2,-36.40000153,-26.86000061,-87.87999725
7828,6858,10718,44,67,-11,-36.22000122,-27.10000038,-87.83000183
7828,6858,10718,44,67,-11,-36.22000122,-27.10000038,-87.83000183
7828,6858,10718,44,67,-11,-36.11000061,-27.37999916,-87.73999786
7946,6834,9712,51,121,-32,-36.11000061,-27.37999916,-87.73999786
8170,7054,10576,58,255,-70,-35.59999847,-27.77000046,-87.65000153
8170,7054,10576,58,255,-70,-35.59999847,-27.77000046,-87.65000153
8170,7054,10576,58,255,-70,-35.59999847,-27.77000046,-87.65000153
8268,6914,11618,253,185,22,-35.20999908,-28.31999969,-87.37999725
8268,6914,11618,253,185,22,-35.20999908,-28.31999969,-87.37999725
7564,6928,11210,-68,138,233,-35.11000061,-28.35000038,-86.80999756
7564,6928,11210,-68,138,233,-35.11000061,-28.35000038,-86.80999756
7564,6928,11210,-68,138,233,-35.11000061,-28.35000038,-86.80999756
6266,5878,8954,-332,390,311,-34.47000122,-27.31999969,-86.37999725
6266,5878,8954,-332,390,311,-33.56000137,-26.53000069,-86.01000214
7448,6424,9112,-111,319,201,-33.56000137,-26.53000069,-86.01000214
7448,6424,9112,-111,319,201,-34.09999847,-26.79999924,-85.01000214
7448,6424,9112,-111,319,201,-34.09999847,-26.79999924,-85.01000214
6976,6320,10018,394,-162,214,-34.09999847,-26.79999924,-85.01000214
6976,6320,10018,394,-162,214,-34.09999847,-26.79999924,-85.01000214
6292,6012,7936,367,42,296,-35.29000092,-27.57999992,-83.5
6292,6012,7936,367,42,296,-35.29000092,-27.57999992,-83.5
5348,4326,9186,53,340,472,-35.15999985,-27.40999985,-81.93000031
5348,4326,9186,53,340,472,-35.15999985,-27.40999985,-81.93000031
5348,4326,9186,53,340,472,-35.15999985,-27.40999985,-81.93000031
4400,4218,8142,-94,100,531,-34.95000076,-26.38999939,-80.66000366
4400,4218,8142,-94,100,531,-34.95000076,-26.38999939,-80.66000366
4066,4998,8544,-163,67,319,-34.93999863,-25.46999931,-79.76999664
4066,4998,8544,-163,67,319,-34.93999863,-25.46999931,-79.76999664
4066,4998,8544,-163,67,319,-34.93999863,-25.46999931,-79.76999664
7066,5964,10166,-256,0,-232,-34.59000015,-25.04000092,-80.16000366
7066,5964,10166,-256,0,-232,-34.59000015,-25.04000092,-80.16000366
9784,7958,13956,-606,-73,-208,-34.29000092,-24.76000023,-81.63999939
9784,7958,13956,-606,-73,-208,-34.29000092,-24.76000023,-81.63999939
8436,4626,10558,-1214,276,-185,-33.45999908,-22.23999977,-83.63999939
8436,4626,10558,-1214,276,-185,-33.45999908,-22.23999977,-83.63999939
8436,4626,10558,-1214,276,-185,-33.45999908,-22.23999977,-83.63999939
10318,7506,9636,-758,449,-136,-32.65999985,-20.85000038,-85.63999939
10318,7506,9636,-758,449,-136,-32.65999985,-20.85000038,-85.63999939
7746,6300,11534,-268,610,134,-31.29000092,-19.96999931,-86.06999969
7746,6300,11534,-268,610,134,-31.29000092,-19.96999931,-86.06999969
7678,6750,13082,-281,693,-159,-29.23999977,-19.65999985,-86.52999878
7678,6750,13082,-281,693,-159,-29.23999977,-19.65999985,-86.52999878
7678,6750,13082,-281,693,-159,-29.23999977,-19.65999985,-86.52999878
6594,6070,16088,-726,1127,-114,-26.30999947,-19.15999985,-87.54000092
6594,6070,16088,-726,1127,-114,-26.30999947,-19.15999985,-87.54000092
6594,6070,16088,-726,1127,-114,-26.30999947,-19.15999985,-87.54000092
6012,5736,16418,-450,1140,-426,-22.36000061,-17.87999916,-89.25
6012,5736,16418,-450,1140,-426,-22.36000061,-17.87999916,-89.25
3932,5792,18340,-617,1548,-194,-17.26000023,-17.15999985,-90.90000153
3932,5792,18340,-617,1548,-194,-17.26000023,-17.15999985,-90.90000153
2612,4642,19348,-553,1673,-253,-11.53999996,-15.52000046,-92.02999878
2612,4642,19348,-553,1673,-253,-11.53999996,-15.52000046,-92.02999878
2612,4642,19348,-553,1673,-253,-11.53999996,-15.52000046,-92.02999878
2612,4642,19348,-553,1673,-253,-7.190000057,-14.60000038,-92.75
1736,4860,22288,-304,916,-43,-7.190000057,-14.60000038,-92.75
-494,3724,20398,-547,294,-278,-4.71999979,-13.02000046,-93.47000122
-494,3724,20398,-547,294,-278,-4.71999979,-13.02000046,-93.47000122
176,2878,21028,-805,-64,-407,-3.839999914,-10.85000038,-94.83000183
176,2878,21028,-805,-64,-407,-3.839999914,-10.85000038,-94.83000183
