ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
8620,7060,11806,-7,31,19,-36.29999924,-25.94000053,67.01999664
8466,7192,11544,5,3,35,-36.31000137,-25.96999931,67.09999847
8466,7192,11544,5,3,35,-36.31000137,-25.96999931,67.09999847
8544,7064,11880,35,64,39,-36.18999863,-25.94000053,67.23999786
8544,7064,11880,35,64,39,-36.18999863,-25.94000053,67.23999786
8544,7064,11880,35,64,39,-36.18999863,-25.94000053,67.23999786
8760,7024,11918,69,44,-13,-36.11000061,-26.04000092,67.38999939
8760,7024,11918,69,44,-13,-36.11000061,-26.04000092,67.38999939
8760,7024,11918,69,44,-13,-36.11000061,-26.04000092,67.38999939
7880,6796,11520,12,66,-143,-35.79999924,-26.22999954,67.22000122
7880,6796,11520,12,66,-143,-35.79999924,-26.22999954,67.22000122
7526,7322,11906,19,206,-104,-35.06999969,-26.46999931,66.75
7526,7322,11906,19,206,-104,-35.06999969,-26.46999931,66.75
7526,7322,11906,19,206,-104,-35.06999969,-26.46999931,66.75
7580,9138,12812,279,13,93,-34.38999939,-27.30999947,66.84999847
7580,9138,12812,279,13,93,-34.38999939,-27.30999947,66.84999847
4782,6488,14012,121,-204,-72,-33.90000153,-27.61000061,67.11000061
4782,6488,14012,121,-204,-72,-32.09999847,-28.82999992,65.80999756
5204,10378,14044,247,546,-520,-32.09999847,-28.82999992,65.80999756
5204,10378,14044,247,546,-520,-29.92000008,-31.22999954,64.18000031
4662,12622,12304,309,-56,-685,-29.92000008,-31.22999954,64.18000031
3600,12012,8876,-557,277,-912,-28.11000061,-32.86999893,61.38999939
3600,12012,8876,-557,277,-912,-28.11000061,-32.86999893,61.38999939
6596,16584,7834,22,851,-869,-24.12000084,-34.68999863,57.68000031
6596,16584,7834,22,851,-869,-21.19000053,-36.88000107,54.5
6596,16584,7834,22,851,-869,-21.19000053,-36.88000107,54.5
2778,4094,728,160,225,-1578,-21.19000053,-36.88000107,54.5
2778,4094,728,160,225,-1578,-15.39000034,-39.65999985,46.34000015
346,7166,-2224,-534,369,-2332,-15.39000034,-39.65999985,46.34000015
346,7166,-2224,-534,369,-2332,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-8.520000458,-38.45999908,38.68000031
4990,11466,-1668,-1305,1372,-1674,-1.279999971,-28.96999931,9.329999924
-12616,-30352,15840,-4262,-9059,3530,-12.18999958,-24.88999939,12.94999981
-12616,-30352,15840,-4262,-9059,3530,-12.18999958,-24.88999939,12.94999981
-12616,-30352,15840,-4262,-9059,3530,-12.18999958,-24.88999939,12.94999981
-23938,1736,-32768,9407,6631,2827,-3.089999914,-20.94000053,21.22999954
-23938,1736,-32768,9407,6631,2827,-3.089999914,-20.94000053,21.22999954
-23938,1736,-32768,9407,6631,2827,-3.089999914,-20.94000053,21.22999954
2966,-4328,15636,4961,-2500,1782,-1.830000043,-50.93999863,28.68000031
2966,-4328,15636,4961,-2500,1782,-1.830000043,-50.93999863,28.68000031
2966,-4328,15636,4961,-2500,1782,-1.830000043,-50.93999863,28.68000031
5724,-7550,29922,-9685,460,1343,-9.430000305,-28.88999939,35.52000046
5724,-7550,29922,-9685,460,1343,-9.430000305,-28.88999939,35.52000046
6674,5302,23556,2321,-1245,1864,-13.18999958,-16.71999931,38.95000076
6674,5302,23556,2321,-1245,1864,-13.18999958,-16.71999931,38.95000076
6674,5302,23556,2321,-1245,1864,-13.18999958,-16.71999931,38.95000076
2072,3264,18296,1011,2249,824,-12.94999981,-19.81999969,45.27000046
4182,3602,16682,510,2081,1836,-8.470000267,-19.77000046,49.5
4182,3602,16682,510,2081,1836,-8.470000267,-19.77000046,49.5
-3876,-1698,26502,657,1913,-212,-1.120000005,-17.52000046,52.00999832
-3876,-1698,26502,657,1913,-212,-1.120000005,-17.52000046,52.00999832
-3876,-1698,26502,657,1913,-212,-1.120000005,-17.52000046,52.00999832
1726,5358,20064,421,-39,360,1.460000038,-17.20000076,51.88999939
1726,5358,20064,421,-39,360,1.460000038,-17.20000076,51.88999939
1726,5358,20064,421,-39,360,1.460000038,-17.20000076,51.88999939
-78,2676,2758,2018,-984,249,-1.769999981,-21.45000076,53.40000153
-78,2676,2758,2018,-984,249,-1.769999981,-21.45000076,53.40000153
252,34,18854,653,389,713,-2.99000001,-25.26000023,55.61000061
252,34,18854,653,389,713,-2.99000001,-25.26000023,55.61000061
510,6886,11586,321,-587,-828,-2.539999962,-23.70000076,54.47000122
