ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
6278,6096,13718,79,-77,-103,-23.71999931,-22.42000008,7.119999886
6178,6098,13392,58,-91,-7,-24.05999947,-22.57999992,7.099999905
6178,6098,13392,58,-91,-7,-24.05999947,-22.57999992,7.099999905
6110,5750,13454,37,-28,-23,-24.27000046,-22.61000061,7.199999809
6110,5750,13454,37,-28,-23,-24.27000046,-22.61000061,7.199999809
6110,5750,13454,37,-28,-23,-24.27000046,-22.61000061,7.199999809
6414,6176,13314,93,27,-3,-24.38999939,-22.79999924,7.230000019
6414,6176,13314,93,27,-3,-24.55999947,-22.84000015,7.400000095
6576,6708,13032,-103,-6,95,-24.55999947,-22.84000015,7.400000095
6576,6708,13032,-103,-6,95,-24.68000031,-22.35000038,7.829999924
6022,5630,12584,-80,80,206,-24.68000031,-22.35000038,7.829999924
6022,5630,12584,-80,80,206,-24.31999969,-22.02000046,8.210000038
5330,5714,13316,-7,138,131,-24.31999969,-22.02000046,8.210000038
5330,5714,13316,-7,138,131,-23.77000046,-21.76000023,8.350000381
5668,5180,13896,-70,152,4,-23.77000046,-21.76000023,8.350000381
5336,5350,14226,65,86,78,-23.28000069,-21.54000092,8.319999695
5336,5350,14226,65,86,78,-23.28000069,-21.54000092,8.319999695
7690,5148,11956,130,0,39,-23.81999969,-21.26000023,8.729999542
7690,5148,11956,130,0,39,-23.81999969,-21.26000023,8.729999542
3366,2892,11580,-168,407,648,-23.21999931,-20.72999954,9.979999542
3366,2892,11580,-168,407,648,-23.21999931,-20.72999954,9.979999542
-46,2790,10728,-92,820,427,-21.31999969,-19.75,11.36999989
-46,2790,10728,-92,820,427,-21.31999969,-19.75,11.36999989
1232,5156,4884,-222,843,463,-18.68000031,-18.73999977,11.85000038
1232,5156,4884,-222,843,463,-18.68000031,-18.73999977,11.85000038
-4836,1492,5106,-258,1359,1769,-15.60999966,-17.62000084,15.19999981
-4880,1864,6522,-580,2013,931,-10.31999969,-15.30000019,18.94000053
-4880,1864,6522,-580,2013,931,-10.31999969,-15.30000019,18.94000053
-4880,1864,6522,-580,2013,931,-4.25,-13.11999989,19.95999908
-4880,1864,6522,-580,2013,931,-4.25,-13.11999989,19.95999908
2480,9366,12984,-1121,1796,275,-4.25,-13.11999989,19.95999908
-788,7898,5754,-1965,1659,737,0.270000011,-9.390000343,21.80999947
-788,7898,5754,-1965,1659,737,0.270000011,-9.390000343,21.80999947
-788,7898,5754,-1965,1659,737,0.270000011,-9.390000343,21.80999947
9824,7026,18616,-1830,1319,-868,4.260000229,-4.269999981,21.76000023
9824,7026,18616,-1830,1319,-868,4.260000229,-4.269999981,21.76000023
9824,7026,18616,-1830,1319,-868,4.260000229,-4.269999981,21.76000023
626,10038,19344,-1567,704,1705,5.260000229,-2.75999999,23.37000084
-14840,-15872,718,-1427,587,2007,11.06000042,5.210000038,31.14999962
-14840,-15872,718,-1427,587,2007,11.06000042,5.210000038,31.14999962
670,-4098,27324,-2932,487,500,13.19999981,9.5,34.33000183
670,-4098,27324,-2932,487,500,13.19999981,9.5,34.33000183
670,-4098,27324,-2932,487,500,13.19999981,9.5,34.33000183
1358,-32188,-15998,-2480,-2811,-1181,10.71000004,22.94000053,38.04999924
1358,-32188,-15998,-2480,-2811,-1181,10.71000004,22.94000053,38.04999924
1358,-32188,-15998,-2480,-2811,-1181,10.71000004,22.94000053,38.04999924
2684,14996,32767,-823,-177,4089,3.529999971,15.42000008,34.77999878
2684,14996,32767,-823,-177,4089,3.529999971,15.42000008,34.77999878
2684,14996,32767,-823,-177,4089,3.529999971,15.42000008,34.77999878
-24028,32767,20844,16276,2501,1169,9.159999847,3.230000019,52.15999985
-24028,32767,20844,16276,2501,1169,9.159999847,3.230000019,52.15999985
5818,32767,32767,-5623,3730,-276,27.82999992,-20.40999985,45.79000092
5818,32767,32767,-5623,3730,-276,27.82999992,-20.40999985,45.79000092
-1136,2500,4876,487,-2368,1419,23.14999962,-7.769999981,58.47000122
-1136,2500,4876,487,-2368,1419,23.14999962,-7.769999981,58.47000122
-1136,2500,4876,487,-2368,1419,23.14999962,-7.769999981,58.47000122
-2796,14876,6596,-634,-3678,-1620,12.84000015,-8.380000114,55.84000015
-2796,14876,6596,-634,-3678,-1620,12.84000015,-8.380000114,55.84000015
-794,-6002,31356,-1248,-41,-2156,8.409999847,-8.850000381,52.04000092
-794,-6002,31356,-1248,-41,-2156,8.409999847,-8.850000381,52.04000092
-794,-6002,31356,-1248,-41,-2156,8.409999847,-8.850000381,52.04000092
10302,8774,-6368,-5416,1161,-2253,8.829999924,5.730000019,45.61999893
-2924,1556,-5962,-2138,1917,-367,14.14000034,17.11000061,44.59000015
-2924,1556,-5962,-2138,1917,-367,14.14000034,17.11000061,44.59000015
-2924,1556,-5962,-2138,1917,-367,14.14000034,17.11000061,44.59000015
-1368,-4890,16158,110,606,-277,18.18000031,18.34000015,44.36999893
-1368,-4890,16158,110,606,-277,18.18000031,18.34000015,44.36999893
-1368,-4890,16158,110,606,-277,18.18000031,18.34000015,44.36999893
-6590,-5512,7494,703,-848,1274,17.79000092,17.79999924,45.81999969
-6590,-5512,7494,703,-848,1274,17.79000092,17.79999924,45.81999969
-6590,-5512,7494,703,-848,1274,17.79000092,17.79999924,45.81999969
-8628,-13452,11986,-240,-619,470,17.96999931,17.97999954,48.84999847
-8628,-13452,11986,-240,-619,470,17.96999931,17.97999954,48.84999847
-5444,-12710,5666,-1292,-236,-375,18.70000076,23.87999916,50.40999985
-5444,-12710,5666,-1292,-236,-375,18.70000076,23.87999916,50.40999985
-6066,-9356,7468,54,146,-433,18.90999985,27.20999908,49.65999985
