ACC_X,ACC_Y,ACC_Z
10218,10296,1710
10218,10296,1710
8152,13530,6208
8152,13530,6208
7788,12830,5534
7788,12830,5534
7798,13390,7054
7798,13390,7054
6062,12426,5602
6062,12426,5602
7128,10304,8858
7128,10304,8858
7428,12956,6316
7428,12956,6316
7646,13422,6714
7646,13422,6714
7646,13422,6714
8452,13120,5314
8452,13120,5314
7918,11982,5646
7918,11982,5646
8040,12502,7238
8040,12502,7238
8040,12502,7238
7760,12722,7604
7874,11616,7010
7874,11616,7010
7874,11616,7010
7604,11732,9716
7604,11732,9716
7980,11366,6798
7980,11366,6798
7980,11366,6798
8012,12054,8056
8012,12054,8056
8306,11212,6312
8306,11212,6312
8306,11212,6312
8066,10044,7908
8066,10044,7908
9008,10264,7526
8956,9030,7228
8956,9030,7228
8956,9030,7228
8006,6512,6810
8006,6512,6810
8006,6512,6810
7186,5654,4978
7186,5654,4978
7454,7670,6294
7454,7670,6294
7454,7670,6294
8130,5530,4452
8130,5530,4452
7400,3766,6966
7400,3766,6966
6378,8350,6648
6378,8350,6648
4536,9340,-3146
4536,9340,-3146
-1636,7686,2444
-1636,7686,2444
-1636,7686,2444
-1636,7686,2444
10296,5576,-768
3822,1042,22142
3822,1042,22142
3822,1042,22142
2938,-3336,23366
2938,-3336,23366
-6048,-10702,13420
-6048,-10702,13420
-22494,-16270,32767
-22494,-16270,32767
9608,-1228,32767
9608,-1228,32767
-10748,-10880,-11630
-10748,-10880,-11630
-2,-864,14820
-2,-864,14820
-8446,-10570,13830
-8446,-10570,13830
-4638,10596,24654
-4638,10596,24654
-4638,10596,24654
-2960,-2858,18336
-2960,-2858,18336
-2960,-2858,18336
-946,1164,14604
-670,126,8342
-670,126,8342
-670,126,8342
-2066,-2946,11062
-2066,-2946,11062
-2066,-2946,11062
-5116,-1712,14946
-4894,-1516,17168
-4894,-1516,17168
-4894,-1516,17168
-4866,-1342,17192
-1904,-646,16188
-1904,-646,16188
-1904,-646,16188
-1810,-2666,13946
-1810,-2666,13946
-1810,-2666,13946
-3844,-1674,15046
-3844,-1674,15046
-3404,-48,15796
-3404,-48,15796
-3154,-4086,13436
-3154,-4086,13436
-1404,-614,15592
-1404,-614,15592
-1404,-614,15592
-2614,-1656,15136
-2614,-1656,15136
-3506,-2042,15948
-3190,-1014,15736
-3190,-1014,15736
-3190,-1014,15736
-4926,-1526,16212
-4926,-1526,16212
-2276,-988,13628
-2276,-988,13628
-2276,-988,13628
-2708,-4622,12308
-2708,-4622,12308
418,718,16010
418,718,16010
-522,-852,18492
-2044,-1594,16228
-2044,-1594,16228
-2044,-1594,16228
-4364,-2152,14878
-4364,-2152,14878
-4364,-2152,14878
-3258,-3600,16708
-1434,-2076,16468
-1434,-2076,16468
-1434,-2076,16468
712,-2252,13718
14,-440,17024
14,-440,17024
14,-440,17024
932,-1466,15432
-516,-1882,13564
-240,-2240,14964
-240,-2240,14964
-240,-2240,14964
-1888,-1592,17844
-1888,-1592,17844
-862,-3162,17060
-862,-3162,17060
568,-3934,16272
568,-3934,16272
2682,-3984,13002
2682,-3984,13002
2682,-3984,13002
11432,-1066,-12832
11432,-1066,-12832
4494,514,10680
