ACC_X,ACC_Y,ACC_Z
9226,12528,5672
9306,12626,5688
9306,12626,5688
9358,12490,6024
9358,12490,6024
9358,12490,6024
9226,12264,5540
9370,12266,5546
9370,12266,5546
9370,12266,5546
9938,11874,6256
9938,11874,6256
9938,11874,6256
10896,10822,7920
10896,10822,7920
12954,12778,9812
12476,11810,8848
12476,11810,8848
12476,11810,8848
11432,13020,5128
11432,13020,5128
10416,12766,4400
10416,12766,4400
10416,12766,4400
10460,12600,5596
10460,12600,5596
9720,12294,4400
9720,12294,4400
9720,12294,4400
9860,11728,4038
9860,11728,4038
10172,12110,3176
10172,12110,3176
9840,10742,2862
9746,10634,1270
9746,10634,1270
9746,10634,1270
10050,10728,350
10050,10728,350
10746,9964,1908
10746,9964,1908
11508,9126,2726
11508,9126,2726
11508,9126,2726
11160,9194,2422
11160,9194,2422
10322,10076,1282
8370,8286,-1256
8370,8286,-1256
8370,8286,-1256
8028,7036,1698
8028,7036,1698
8028,7036,1698
5856,2076,2046
2960,4506,-2022
2960,4506,-2022
2960,4506,-2022
2960,4506,-2022
1342,6668,-7162
1342,6668,-7162
-1210,6494,-6692
-1018,7036,5724
-1018,7036,5724
-1018,7036,5724
-2886,2864,14420
-2886,2864,14420
2552,22982,25002
2552,22982,25002
2552,22982,25002
-3328,4984,32767
-3328,4984,32767
-3328,4984,32767
5344,3322,32767
6350,6788,32767
6350,6788,32767
-962,5846,-754
-962,5846,-754
-962,5846,-754
-1610,4704,25766
-1610,4704,25766
4508,1356,15178
4508,1356,15178
2786,272,12204
4588,1620,14352
4588,1620,14352
4588,1620,14352
4588,1620,14352
3600,1516,16358
3148,2488,15570
3148,2488,15570
3192,1846,15176
3192,1846,15176
4066,1510,15408
4066,1510,15408
4066,1510,15408
3508,1542,15224
3508,1542,15224
3508,1542,15224
4002,1574,14522
4002,1574,14522
4470,1626,14664
4470,1626,14664
4092,1280,14358
4092,1280,14358
4618,926,14420
4618,926,14420
5202,1250,16128
5202,1250,16128
5202,1250,16128
2766,1106,14420
2766,1106,14420
2766,1106,14420
5358,1792,17420
5358,1792,17420
3918,2038,15906
3344,2424,16704
3344,2424,16704
3344,2424,16704
3738,1376,14900
3738,1376,14900
3800,3098,14714
3800,3098,14714
3594,2324,15534
3594,2324,15534
3594,2324,15534
3148,3136,15446
3148,3136,15446
2614,3234,15302
2614,3234,15302
2410,3508,15878
2410,3508,15878
2410,3508,15878
2834,3770,15326
2834,3770,15326
2538,4174,15712
2538,4174,15712
2444,3540,16022
2444,3540,16022
