ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
7890,2256,13534,19,-27,-23,-30.18000031,-8.180000305,15.77000046
7890,2256,13534,19,-27,-23,-30.18000031,-8.180000305,15.77000046
7890,2256,13534,19,-27,-23,-30.18000031,-8.180000305,15.77000046
8084,2714,13652,-13,10,-11,-30.20999908,-8.300000191,15.69999981
8084,2714,13652,-13,10,-11,-30.20999908,-8.300000191,15.69999981
8240,2536,13520,1,-15,-71,-30.29000092,-8.449999809,15.64000034
8240,2536,13520,1,-15,-71,-30.29000092,-8.449999809,15.64000034
8240,2536,13520,1,-15,-71,-30.29000092,-8.449999809,15.64000034
7956,3568,12934,32,0,-119,-30.38999939,-9.029999733,15.34000015
7390,2454,12640,110,-169,-160,-30.62000084,-9.529999733,15.21000004
7390,2454,12640,110,-169,-160,-30.62000084,-9.529999733,15.21000004
6632,3354,10702,-161,76,-156,-30.84000015,-10.03999996,14.63000011
6632,3354,10702,-161,76,-156,-30.84000015,-10.03999996,14.63000011
8318,2428,13376,-192,40,20,-30.44000053,-9.670000076,14.18999958
8318,2428,13376,-192,40,20,-30.44000053,-9.670000076,14.18999958
8318,2428,13376,-192,40,20,-30.44000053,-9.670000076,14.18999958
6174,1932,13472,82,-76,398,-30.5,-8.979999542,14.75
4014,3672,12304,728,203,-163,-29.38999939,-10.27000046,15.52000046
4982,4622,8690,231,396,-13,-28.70999908,-12.39999962,16.02000046
4982,4622,8690,231,396,-13,-28.70999908,-12.39999962,16.02000046
4982,4622,8690,231,396,-13,-28.70999908,-12.39999962,16.02000046
4378,2910,12202,933,770,-814,-25.90999985,-14.81999969,15.60999966
4378,2910,12202,933,770,-814,-25.90999985,-14.81999969,15.60999966
4378,2910,12202,933,770,-814,-25.90999985,-14.81999969,15.60999966
3056,2606,9040,868,761,-392,-23.75,-17.27000046,15.25
5484,7548,9140,972,921,-524,-21.05999947,-22.29000092,15.26000023
