ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
7080,-3292,13482,2396,40,-630,-31.5,-0.409999996,-14.07999992
7080,-3292,13482,2396,40,-630,-31.5,-0.409999996,-14.07999992
7080,-3292,13482,2396,40,-630,-31.5,-0.409999996,-14.07999992
6092,-1122,17370,2631,258,-436,-31.06999969,-7.650000095,-11.15999985
6092,-1122,17370,2631,258,-436,-31.06999969,-7.650000095,-11.15999985
7726,3826,18068,2088,113,-436,-29.89999962,-14.09000015,-8.960000038
7726,3826,18068,2088,113,-436,-29.89999962,-14.09000015,-8.960000038
7842,6318,16554,977,805,-147,-28.77000046,-18.76000023,-7.289999962
7842,6318,16554,977,805,-147,-28.77000046,-18.76000023,-7.289999962
8232,8118,16766,-166,1007,-103,-25.63999939,-19.93000031,-7.190000057
8232,8118,16766,-166,1007,-103,-25.63999939,-19.93000031,-7.190000057
8232,8118,16766,-166,1007,-103,-25.63999939,-19.93000031,-7.190000057
6806,7632,14430,-897,562,-45,-23.12000084,-18.70000076,-8.069999695
6108,7610,12458,-1094,-61,-132,-22.09000015,-16.42000008,-9.630000114
6108,7610,12458,-1094,-61,-132,-22.09000015,-16.42000008,-9.630000114
6108,7610,12458,-1094,-61,-132,-22.09000015,-16.42000008,-9.630000114
6730,7136,10514,-335,-64,-293,-22.79999924,-15.98999977,-11.02000046
6730,7136,10514,-335,-64,-293,-22.79999924,-15.98999977,-11.02000046
8000,7356,15906,132,610,83,-22.45999908,-17.17000008,-11.22000027
8000,7356,15906,132,610,83,-22.45999908,-17.17000008,-11.22000027
5408,5730,18684,-691,686,401,-20.32999992,-16.18000031,-10.61999989
4528,5572,15074,-983,596,492,-18.56999969,-13.65999985,-10.28999996
4528,5572,15074,-983,596,492,-18.56999969,-13.65999985,-10.28999996
4528,5572,15074,-983,596,492,-18.56999969,-13.65999985,-10.28999996
3846,3996,13512,-962,690,409,-16.56999969,-10.71000004,-9.880000114
4510,3966,12818,-821,566,437,-14.85000038,-8.260000229,-9.390000343
4510,3966,12818,-821,566,437,-14.85000038,-8.260000229,-9.390000343
4510,3966,12818,-821,566,437,-14.85000038,-8.260000229,-9.390000343
