ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
10590,9486,8058,-49,-17,14,-54.43000031,-35.40000153,132.3800049
10590,9486,8058,-49,-17,14,-54.43000031,-35.40000153,132.3800049
10368,9262,8420,-36,-75,22,-54.59999847,-35.40999985,132.3999939
10770,9162,7940,-95,-75,-26,-54.75,-35.38000107,132.1699982
10770,9162,7940,-95,-75,-26,-54.75,-35.38000107,132.1699982
10770,9162,7940,-95,-75,-26,-54.75,-35.38000107,132.1699982
11098,9464,7894,-49,4,23,-54.88999939,-35.38999939,132.0700073
11506,8746,7424,-70,79,41,-54.90999985,-35.20000076,132.0800018
11506,8746,7424,-70,79,41,-54.90999985,-35.20000076,132.0800018
11506,8746,7424,-70,79,41,-54.90999985,-35.20000076,132.0800018
11672,9826,7988,-25,272,268,-54.72999954,-34.93000031,132.4600067
11672,9826,7988,-25,272,268,-54.43000031,-34.04000092,133.1600037
10312,8824,8286,-81,186,384,-54.43000031,-34.04000092,133.1600037
10312,8824,8286,-81,186,384,-54.20000076,-33.43000031,133.5
9872,8474,8696,-39,65,119,-54.20000076,-33.43000031,133.5
10602,9166,8506,-111,-82,-76,-54.09000015,-33.43999863,133.25
10602,9166,8506,-111,-82,-76,-54.09000015,-33.43999863,133.25
10602,9166,8506,-111,-82,-76,-54.09000015,-33.43999863,133.25
10602,9166,8506,-111,-82,-76,-54.31000137,-33.66999817,132.8300018
10728,9270,7286,-4,-6,8,-54.59999847,-33.81999969,132.75
10728,9270,7286,-4,-6,8,-54.59999847,-33.81999969,132.75
10728,9270,7286,-4,-6,8,-54.59999847,-33.81999969,132.75
10524,8848,8166,42,11,-32,-54.72000122,-34.04999924,132.9299927
10964,9230,7840,-19,-14,-116,-54.74000168,-34.36999893,132.8099976
10964,9230,7840,-19,-14,-116,-54.74000168,-34.36999893,132.8099976
10964,9230,7840,-19,-14,-116,-54.74000168,-34.36999893,132.8099976
11068,9404,8288,-4,-4,-112,-54.74000168,-34.77999878,132.6100006
